Distance	Confidence
2.6468	0.6518
2.6499	0.6509
2.653	0.65
2.6561	0.6491
2.6592	0.6481
2.6623	0.6472
2.6654	0.6463
2.6685	0.6454
2.6716	0.6445
2.6747	0.6436
2.6778	0.6427
2.6809	0.6418
2.684	0.6409
2.687	0.64
2.6901	0.6391
2.6932	0.6382
2.6963	0.6373
2.6994	0.6364
2.7025	0.6355
2.7056	0.6346
2.7087	0.6337
2.7118	0.6328
2.7149	0.6319
2.718	0.631
2.7211	0.6301
2.7242	0.6292
2.7272	0.6283
2.7303	0.6274
2.7334	0.6265
2.7365	0.6256
2.7396	0.6246
2.7427	0.6237
2.7458	0.6228
2.7489	0.6219
2.752	0.621
2.7551	0.6201
2.7582	0.6192
2.7613	0.6183
2.7643	0.6174
2.7674	0.6165
2.7705	0.6156
2.7736	0.6147
2.7767	0.6138
2.7798	0.6129
2.7829	0.6119
2.786	0.611
2.7891	0.6101
2.7922	0.6092
2.7953	0.6083
2.7984	0.6074
2.8015	0.6065
2.8045	0.6056
2.8076	0.6047
2.8107	0.6038
2.8138	0.6029
2.8169	0.602
2.82	0.6011
2.8231	0.6002
2.8262	0.5992
2.8293	0.5983
2.8324	0.5974
2.8355	0.5965
2.8386	0.5956
2.8417	0.5947
2.8447	0.5938
2.8478	0.5929
2.8509	0.592
2.854	0.5911
2.8571	0.5902
2.8602	0.5893
2.8633	0.5884
2.8664	0.5875
2.8695	0.5866
2.8726	0.5856
2.8757	0.5847
2.8788	0.5838
2.8818	0.583
2.8849	0.582
2.888	0.5811
2.8911	0.5802
2.8942	0.5793
2.8973	0.5784
2.9004	0.5775
2.9035	0.5766
2.9066	0.5757
2.9097	0.5748
2.9128	0.5739
2.9159	0.573
2.919	0.5721
2.922	0.5712
2.9251	0.5703
2.9282	0.5694
2.9313	0.5685
2.9344	0.5676
2.9375	0.5667
2.9406	0.5658
2.9437	0.5649
2.9468	0.564
2.9499	0.5631
2.953	0.5622
2.9561	0.5613
2.9592	0.5604
2.9622	0.5595
2.9653	0.5586
2.9684	0.5577
2.9715	0.5568
2.9746	0.5559
2.9777	0.555
2.9808	0.5541
2.9839	0.5532
2.987	0.5523
2.9901	0.5514
2.9932	0.5505
2.9963	0.5496
2.9993	0.5488
3.0024	0.5479
3.0055	0.547
3.0086	0.5461
3.0117	0.5452
3.0148	0.5443
3.0179	0.5434
3.021	0.5425
3.0241	0.5416
3.0272	0.5407
3.0303	0.5398
3.0334	0.5389
3.0365	0.538
3.0395	0.5372
3.0426	0.5363
3.0457	0.5354
3.0488	0.5345
3.0519	0.5336
3.055	0.5327
3.0581	0.5319
3.0612	0.531
3.0643	0.5301
3.0674	0.5292
3.0705	0.5283
3.0736	0.5274
3.0767	0.5265
3.0797	0.5257
3.0828	0.5248
3.0859	0.5239
3.089	0.523
3.0921	0.5222
3.0952	0.5213
3.0983	0.5204
3.1014	0.5195
3.1045	0.5186
3.1076	0.5178
3.1107	0.5169
3.1138	0.516
3.1168	0.5152
3.1199	0.5143
3.123	0.5134
3.1261	0.5125
3.1292	0.5117
3.1323	0.5108
3.1354	0.5099
3.1385	0.5091
3.1416	0.5082
3.1447	0.5073
3.1478	0.5064
3.1509	0.5056
3.154	0.5047
3.157	0.5039
3.1601	0.503
3.1632	0.5021
3.1663	0.5013
3.1694	0.5004
3.1725	0.4995
3.1756	0.4987
3.1787	0.4978
3.1818	0.4969
3.1849	0.4961
3.188	0.4952
3.1911	0.4944
3.1942	0.4935
3.1972	0.4927
3.2003	0.4918
3.2034	0.491
3.2065	0.4901
3.2096	0.4892
3.2127	0.4884
3.2158	0.4875
3.2189	0.4867
3.222	0.4858
3.2251	0.485
3.2282	0.4841
3.2313	0.4833
3.2343	0.4824
3.2374	0.4816
3.2405	0.4807
3.2436	0.4799
3.2467	0.479
3.2498	0.4782
3.2529	0.4773
3.256	0.4765
3.2591	0.4756
3.2622	0.4748
3.2653	0.4739
3.2684	0.4731
3.2715	0.4723
3.2745	0.4714
3.2776	0.4706
3.2807	0.4697
3.2838	0.4689
3.2869	0.4681
3.29	0.4672
3.2931	0.4664
3.2962	0.4655
3.2993	0.4647
3.3024	0.4639
3.3055	0.463
3.3086	0.4622
3.3117	0.4614
3.3147	0.4605
3.3178	0.4597
3.3209	0.4589
3.324	0.458
3.3271	0.4572
3.3302	0.4564
3.3333	0.4555
3.3364	0.4547
3.3395	0.4539
3.3426	0.453
3.3457	0.4522
3.3488	0.4514
3.3518	0.4506
3.3549	0.4498
3.358	0.4489
3.3611	0.4481
3.3642	0.4473
3.3673	0.4464
3.3704	0.4456
3.3735	0.4448
3.3766	0.444
3.3797	0.4431
3.3828	0.4423
3.3859	0.4415
3.389	0.4407
3.392	0.4399
3.3951	0.439
3.3982	0.4382
3.4013	0.4374
3.4044	0.4366
3.4075	0.4358
3.4106	0.4349
3.4137	0.4341
3.4168	0.4333
3.4199	0.4325
3.423	0.4317
3.4261	0.4308
3.4292	0.43
3.4322	0.4292
3.4353	0.4284
3.4384	0.4276
3.4415	0.4268
3.4446	0.426
3.4477	0.4252
3.4508	0.4243
3.4539	0.4235
3.457	0.4227
3.4601	0.4219
3.4632	0.4211
3.4663	0.4203
3.4693	0.4195
3.4724	0.4187
3.4755	0.4179
3.4786	0.4171
3.4817	0.4163
3.4848	0.4154
3.4879	0.4146
3.491	0.4138
3.4941	0.413
3.4972	0.4122
3.5003	0.4114
3.5034	0.4106
3.5065	0.4098
3.5095	0.409
3.5126	0.4082
3.5157	0.4074
3.5188	0.4066
3.5219	0.4058
3.525	0.405
3.5281	0.4042
3.5312	0.4034
3.5343	0.4026
3.5374	0.4018
3.5405	0.401
3.5436	0.4002
3.5467	0.3994
3.5497	0.3986
3.5528	0.3978
3.5559	0.397
3.559	0.3962
3.5621	0.3954
3.5652	0.3946
3.5683	0.3938
3.5714	0.393
3.5745	0.3922
3.5776	0.3914
3.5807	0.3906
3.5838	0.3898
3.5868	0.389
3.5899	0.3882
3.593	0.3874
3.5961	0.3866
3.5992	0.3858
3.6023	0.385
3.6054	0.3842
3.6085	0.3834
3.6116	0.3826
3.6147	0.3818
3.6178	0.381
3.6209	0.3802
3.624	0.3794
3.627	0.3786
3.6301	0.3778
3.6332	0.377
3.6363	0.3762
3.6394	0.3755
3.6425	0.3747
3.6456	0.3739
3.6487	0.3731
3.6518	0.3723
3.6549	0.3715
3.658	0.3707
3.6611	0.3699
3.6642	0.3691
3.6672	0.3683
3.6703	0.3675
3.6734	0.3667
3.6765	0.3659
3.6796	0.3651
3.6827	0.3643
3.6858	0.3635
3.6889	0.3627
3.692	0.362
3.6951	0.3612
3.6982	0.3604
3.7013	0.3596
3.7044	0.3588
3.7074	0.358
3.7105	0.3572
3.7136	0.3564
3.7167	0.3556
3.7198	0.3548
3.7229	0.354
3.726	0.3532
3.7291	0.3524
3.7322	0.3516
3.7353	0.3508
3.7384	0.3501
3.7415	0.3493
3.7445	0.3485
3.7476	0.3477
3.7507	0.3469
3.7538	0.3461
3.7569	0.3453
3.76	0.3445
3.7631	0.3437
3.7662	0.3429
3.7693	0.3421
3.7724	0.3413
3.7755	0.3405
3.7786	0.3397
