GeneID	GeneSymbol	# drug associations
472	ATM	35
1822	ATN1	3
475	ATOX1	3
23120	ATP10B	1
23250	ATP11A	1
286410	ATP11C	1
479	ATP12A	2
57130	ATP13A1	3
23400	ATP13A2	1
79572	ATP13A3	1
476	ATP1A1	10
477	ATP1A2	2
478	ATP1A3	3
480	ATP1A4	1
481	ATP1B1	2
483	ATP1B3	2
488	ATP2A2	7
489	ATP2A3	1
490	ATP2B1	5
491	ATP2B2	1
493	ATP2B4	3
27032	ATP2C1	1
495	ATP4A	1
496	ATP4B	1
11946	ATP5A1	1
11949	ATP5C1	1
66043	ATP5D	1
498	ATP5F1A	6
506	ATP5F1B	9
509	ATP5F1C	2
513	ATP5F1D	2
514	ATP5F1E	1
432369	ATP5F1EP2	1
11951	ATP5G1	1
71679	ATP5H	2
93974	ATP5IF1	2
11957	ATP5J	1
521	ATP5ME	4
9551	ATP5MF	2
100526740	ATP5MF-PTCD1	1
10632	ATP5MG	1
9556	ATP5MJ	1
84833	ATP5MK	2
28080	ATP5O	2
515	ATP5PB	2
10476	ATP5PD	3
522	ATP5PF	2
539	ATP5PO	2
4508	ATP6	5
10159	ATP6AP2	1
535	ATP6V0A1	3
23545	ATP6V0A2	2
50617	ATP6V0A4	1
527	ATP6V0C	1
9114	ATP6V0D1	4
523	ATP6V1A	6
525	ATP6V1B1	1
526	ATP6V1B2	3
528	ATP6V1C1	2
51382	ATP6V1D	4
529	ATP6V1E1	3
9296	ATP6V1F	1
9550	ATP6V1G1	3
534	ATP6V1G2	1
51606	ATP6V1H	2
538	ATP7A	7
540	ATP7B	6
4509	ATP8	1
10396	ATP8A1	1
10079	ATP9A	1
91647	ATPAF2	1
545	ATR	12
84126	ATRIP	1
8455	ATRN	2
546	ATRX	6
6310	ATXN1	3
25814	ATXN10	1
342371	ATXN1L	2
6311	ATXN2	3
11273	ATXN2L	4
4287	ATXN3	2
6314	ATXN7	1
56970	ATXN7L3	2
552889	ATXN7L3B	1
550	AUP1	2
6790	AURKA	7
9212	AURKB	9
6795	AURKC	1
26053	AUTS2	1
57099	AVEN	1
23080	AVL9	2
551	AVP	18
60370	AVPI1	2
552	AVPR1A	2
554	AVPR2	2
8312	AXIN1	2
