threshold	branching_factor	n_clusters	Silhouette_score	Davies-Bouldin_score	Calinski-Harabasz_score
0.1	14	180	0.534	0.732	76.101
0.1	14	200	0.539	0.674	79.681
0.1	14	220	0.544	0.616	84.839
0.1	14	240	0.547	0.557	91.03
0.1	14	260	0.548	0.505	98.858
0.1	14	280	0.551	0.454	110.225
0.1	14	300	0.554	0.4	123.488
0.1	14	320	0.556	0.35	141.814
0.1	14	340	0.559	0.315	167.127
0.1	14	360	0.566	0.286	212.086
0.1	14	380	0.58	0.245	296.437
0.1	14	400	0.589	0.219	419.25
0.1	14	420	0.595	0.196	565.01
0.1	14	440	0.599	0.184	694.464
0.1	14	460	0.601	0.207	780.376
0.1	14	480	0.601	0.207	780.376
0.1	14	500	0.601	0.207	780.376
0.1	14	520	0.601	0.207	780.376
0.1	14	540	0.601	0.207	780.376
0.1	14	560	0.601	0.207	780.376
0.1	14	580	0.601	0.207	780.376
0.1	14	600	0.601	0.207	780.376
0.1	15	20	0.313	1.489	100.399
0.1	15	40	0.372	1.316	82.251
0.1	15	60	0.426	1.211	76.827
0.1	15	80	0.452	1.14	72.937
0.1	15	100	0.478	1.049	71.463
0.1	15	120	0.494	0.96	70.282
0.1	15	140	0.511	0.872	70.907
0.1	15	160	0.521	0.797	71.949
0.1	15	180	0.529	0.724	74.873
0.1	15	200	0.537	0.669	78.825
0.1	15	220	0.543	0.611	84.15
0.1	15	240	0.546	0.553	90.327
0.1	15	260	0.548	0.506	98.627
0.1	15	280	0.55	0.448	109.498
0.1	15	300	0.553	0.394	122.638
0.1	15	320	0.557	0.349	142.246
0.1	15	340	0.561	0.316	168.791
0.1	15	360	0.566	0.283	209.943
0.1	15	380	0.579	0.242	290.142
0.1	15	400	0.588	0.216	408.273
0.1	15	420	0.594	0.191	539.702
0.1	15	440	0.6	0.182	652.69
0.1	15	460	0.601	0.189	682.603
0.1	15	480	0.601	0.189	682.603
0.1	15	500	0.601	0.189	682.603
0.1	15	520	0.601	0.189	682.603
0.1	15	540	0.601	0.189	682.603
0.1	15	560	0.601	0.189	682.603
0.1	15	580	0.601	0.189	682.603
0.1	15	600	0.601	0.189	682.603
0.2	5	20	0.304	1.49	96.253
0.2	5	40	0.365	1.306	79.179
0.2	5	60	0.418	1.168	74.75
0.2	5	80	0.444	1.097	68.854
0.2	5	100	0.469	1.003	66.776
0.2	5	120	0.479	0.918	65.127
0.2	5	140	0.49	0.837	65.274
0.2	5	160	0.489	0.764	64.498
0.2	5	180	0.497	0.692	66.222
0.2	5	200	0.506	0.627	68.731
0.2	5	220	0.51	0.563	71.001
0.2	5	240	0.512	0.513	74.399
0.2	5	260	0.515	0.466	79.701
0.2	5	280	0.528	0.41	90.661
0.2	5	300	0.53	0.369	100.273
0.2	5	320	0.535	0.339	113.156
0.2	5	340	0.541	0.346	124.203
0.2	5	360	0.543	0.367	129.573
0.2	5	380	0.544	0.37	130.255
0.2	5	400	0.544	0.37	130.255
0.2	5	420	0.544	0.37	130.255
0.2	5	440	0.544	0.37	130.255
0.2	5	460	0.544	0.37	130.255
0.2	5	480	0.544	0.37	130.255
0.2	5	500	0.544	0.37	130.255
0.2	5	520	0.544	0.37	130.255
0.2	5	540	0.544	0.37	130.255
0.2	5	560	0.544	0.37	130.255
0.2	5	580	0.544	0.37	130.255
0.2	5	600	0.544	0.37	130.255
0.2	6	20	0.308	1.508	96.726
0.2	6	40	0.379	1.29	79.417
0.2	6	60	0.413	1.166	73.308
0.2	6	80	0.445	1.078	69.324
0.2	6	100	0.467	1.0	66.877
0.2	6	120	0.48	0.91	65.03
0.2	6	140	0.484	0.828	64.055
0.2	6	160	0.488	0.748	63.507
0.2	6	180	0.499	0.682	65.239
0.2	6	200	0.504	0.618	67.634
0.2	6	220	0.51	0.561	71.316
0.2	6	240	0.51	0.513	73.81
0.2	6	260	0.514	0.462	79.098
0.2	6	280	0.521	0.411	87.319
0.2	6	300	0.529	0.374	99.608
0.2	6	320	0.534	0.354	111.607
0.2	6	340	0.534	0.359	119.471
0.2	6	360	0.535	0.382	123.317
0.2	6	380	0.536	0.383	124.547
0.2	6	400	0.536	0.383	124.547
0.2	6	420	0.536	0.383	124.547
0.2	6	440	0.536	0.383	124.547
0.2	6	460	0.536	0.383	124.547
0.2	6	480	0.536	0.383	124.547
0.2	6	500	0.536	0.383	124.547
0.2	6	520	0.536	0.383	124.547
0.2	6	540	0.536	0.383	124.547
0.2	6	560	0.536	0.383	124.547
